date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:24:50	2663/2663	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:24:48%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/page_conditional_no_regret.php	www.cs.uu.nl/docs/vakken/maa/current/page_conditional_no_regret.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/topics.php)
09:24:52	3452/3452	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:24:50%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/page_calibration.php	www.cs.uu.nl/docs/vakken/maa/current/page_calibration.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/topics.php)
09:24:54	3428/3428	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:24:52%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/page_hypothesis_testing.php	www.cs.uu.nl/docs/vakken/maa/current/page_hypothesis_testing.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/topics.php)
09:24:56	4494/4494	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:24:54%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/page_spatial_evolution.php	www.cs.uu.nl/docs/vakken/maa/current/page_spatial_evolution.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/topics.php)
09:24:58	5148/5148	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:24:56%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/page_MARL.php	www.cs.uu.nl/docs/vakken/maa/current/page_MARL.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/topics.php)
09:25:00	4277/4277	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:24:58%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/page_stochastic_games.php	www.cs.uu.nl/docs/vakken/maa/current/page_stochastic_games.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/topics.php)
09:25:02	4896/4896	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:25:00%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/page_evolutionary_games.php	www.cs.uu.nl/docs/vakken/maa/current/page_evolutionary_games.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/topics.php)
09:25:04	5901/5901	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:25:02%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/page_social_conventions.php	www.cs.uu.nl/docs/vakken/maa/current/page_social_conventions.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/topics.php)
09:25:06	4577/4577	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:25:04%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/page_methodology.php	www.cs.uu.nl/docs/vakken/maa/current/page_methodology.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/topics.php)
09:25:08	355600/355600	---M--	200	added ('OK')	image/jpeg	etag:%2237645e14-56d10-5c327344aa000%22	http://www.cs.uu.nl/docs/vakken/maa/current/uscki/2021/ProgrammaboekjeSympo2021.jpg	www.cs.uu.nl/docs/vakken/maa/current/uscki/2021/ProgrammaboekjeSympo2021.jpg	(from http://www.cs.uu.nl/docs/vakken/maa/current/news.php)
09:25:08	4120/4120	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:25:06%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/page_alife_cellular_automata.php	www.cs.uu.nl/docs/vakken/maa/current/page_alife_cellular_automata.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/topics.php)
09:25:10	5627/5627	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:25:08%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/page_cournot_dynamics.php	www.cs.uu.nl/docs/vakken/maa/current/page_cournot_dynamics.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/topics.php)
09:25:12	4896/4896	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:25:10%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/page_winstay_loseshift.php	www.cs.uu.nl/docs/vakken/maa/current/page_winstay_loseshift.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/topics.php)
09:25:14	4670/4670	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:25:12%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/page_extensive_form.php	www.cs.uu.nl/docs/vakken/maa/current/page_extensive_form.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/topics.php)
09:25:16	6294/6294	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:25:14%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/page_simplified_poker.php	www.cs.uu.nl/docs/vakken/maa/current/page_simplified_poker.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/topics.php)
09:25:18	4338/4338	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:25:16%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/page_ant_colony.php	www.cs.uu.nl/docs/vakken/maa/current/page_ant_colony.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/topics.php)
09:25:22	4565/4565	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:25:20%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/page_particle_swarm.php	www.cs.uu.nl/docs/vakken/maa/current/page_particle_swarm.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/topics.php)
09:25:24	9133/9133	---MC-	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:25:18%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/page_slime_mold.php	www.cs.uu.nl/docs/vakken/maa/current/page_slime_mold.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/topics.php)
09:25:24	5520/5520	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:25:22%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/page_replicator_lyapunov.php	www.cs.uu.nl/docs/vakken/maa/current/page_replicator_lyapunov.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/topics.php)
09:25:26	2982/2982	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:25:24%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/page_CLRI.php	www.cs.uu.nl/docs/vakken/maa/current/page_CLRI.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/topics.php)
09:25:28	4004/4004	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:25:26%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/page_wiki_games.php	www.cs.uu.nl/docs/vakken/maa/current/page_wiki_games.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/topics.php)
09:25:30	3384/3384	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:25:28%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/page_argumentation.php	www.cs.uu.nl/docs/vakken/maa/current/page_argumentation.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/topics.php)
09:25:32	3280/3280	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:25:30%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/page_spatial_adaptation.php	www.cs.uu.nl/docs/vakken/maa/current/page_spatial_adaptation.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/topics.php)
09:25:34	4451/4451	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:25:32%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/page_uncoupled_learning.php	www.cs.uu.nl/docs/vakken/maa/current/page_uncoupled_learning.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/topics.php)
09:25:38	2118/2118	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:25:36%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/some_books.php	www.cs.uu.nl/docs/vakken/maa/current/some_books.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/links.php)
09:25:40	7482/7482	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:25:38%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/abbreviations.php	www.cs.uu.nl/docs/vakken/maa/current/abbreviations.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/links.php)
09:25:42	5612/5612	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Jun%202021%2007:25:40%20GMT	http://www.cs.uu.nl/docs/vakken/maa/current/netlogo-4.php	www.cs.uu.nl/docs/vakken/maa/current/netlogo-4.html	(from http://www.cs.uu.nl/docs/vakken/maa/current/netlogo.php)
09:25:44	37791/37791	---M--	200	added ('OK')	image/png	etag:%22376075b8-939f-549e5540c8b80%22	http://www.cs.uu.nl/docs/vakken/maa/current/diagram.png	www.cs.uu.nl/docs/vakken/maa/current/diagram.png	(from http://www.cs.uu.nl/docs/vakken/maa/current/diagram.php)
09:26:00	73263/73263	---M--	200	added ('OK')	application/pdf	etag:%2237618062-11e2f-5885f9e708c40%22	http://www.cs.uu.nl/docs/vakken/maa/current/exams/MAL_exam_2016_17_1.pdf	www.cs.uu.nl/docs/vakken/maa/current/exams/MAL_exam_2016_17_1.pdf	(from http://www.cs.uu.nl/docs/vakken/maa/current/exams.php)
09:26:00	67863/67863	---M--	200	added ('OK')	application/pdf	etag:%22376b65bb-10917-5864243711040%22	http://www.cs.uu.nl/docs/vakken/maa/current/exams/MAL_exam_2016_17_2.pdf	www.cs.uu.nl/docs/vakken/maa/current/exams/MAL_exam_2016_17_2.pdf	(from http://www.cs.uu.nl/docs/vakken/maa/current/exams.php)
09:26:09	146012/146012	---M--	200	added ('OK')	application/zip	etag:%2237638c7d-23a5c-5a4822f7d5540%22	http://www.cs.uu.nl/docs/vakken/maa/current/stuff/Demos_Netlogo_v6.0.4.zip	www.cs.uu.nl/docs/vakken/maa/current/stuff/Demos_Netlogo_v6.0.4.zip	(from http://www.cs.uu.nl/docs/vakken/maa/current/netlogo.php)
09:26:13	76019/76019	---M--	200	added ('OK')	application/pdf	etag:%223763e78a-128f3-5a61585828200%22	http://www.cs.uu.nl/docs/vakken/maa/current/exams/MAL_exam_2017_18_1.pdf	www.cs.uu.nl/docs/vakken/maa/current/exams/MAL_exam_2017_18_1.pdf	(from http://www.cs.uu.nl/docs/vakken/maa/current/exams.php)
09:26:14	71119/71119	---M--	200	added ('OK')	application/pdf	etag:%223763e78b-115cf-586425bffaf40%22	http://www.cs.uu.nl/docs/vakken/maa/current/exams/MAL_exam_2017_18_2.pdf	www.cs.uu.nl/docs/vakken/maa/current/exams/MAL_exam_2017_18_2.pdf	(from http://www.cs.uu.nl/docs/vakken/maa/current/exams.php)
09:26:23	76244/76244	---M--	200	added ('OK')	application/pdf	etag:%22376b65b8-129d4-58642582f1f40%22	http://www.cs.uu.nl/docs/vakken/maa/current/exams/MAL_exam_2017_18_3.pdf	www.cs.uu.nl/docs/vakken/maa/current/exams/MAL_exam_2017_18_3.pdf	(from http://www.cs.uu.nl/docs/vakken/maa/current/exams.php)
09:26:41	148190/148190	---M--	200	added ('OK')	application/pdf	etag:%223765634a-242de-58c5dd327c780%22	http://www.cs.uu.nl/docs/vakken/maa/current/exams/MAL_exam_2018_19_2.pdf	www.cs.uu.nl/docs/vakken/maa/current/exams/MAL_exam_2018_19_2.pdf	(from http://www.cs.uu.nl/docs/vakken/maa/current/exams.php)
09:26:43	108590/108590	---M--	200	added ('OK')	application/pdf	etag:%223767924e-1a82e-58d639c393f53%22	http://www.cs.uu.nl/docs/vakken/maa/current/exams/MAL_exam_2018_19_3.pdf	www.cs.uu.nl/docs/vakken/maa/current/exams/MAL_exam_2018_19_3.pdf	(from http://www.cs.uu.nl/docs/vakken/maa/current/exams.php)
09:26:47	193194/193194	---M--	200	added ('OK')	application/pdf	etag:%22376a6d1a-2f2aa-589a42ccfa1c0%22	http://www.cs.uu.nl/docs/vakken/maa/current/exams/MAL_exam_2018_19_1.pdf	www.cs.uu.nl/docs/vakken/maa/current/exams/MAL_exam_2018_19_1.pdf	(from http://www.cs.uu.nl/docs/vakken/maa/current/exams.php)
09:27:08	167729/167729	---M--	200	added ('OK')	application/pdf	etag:%2237688f7c-28f31-5c3b3aa765f80%22	http://www.cs.uu.nl/docs/vakken/maa/current/exams/MAL_exam_2020_21_1.pdf	www.cs.uu.nl/docs/vakken/maa/current/exams/MAL_exam_2020_21_1.pdf	(from http://www.cs.uu.nl/docs/vakken/maa/current/exams.php)
09:36:48	18274/18274	---M--	200	added ('OK')	text/plain	etag:%22376884de-4762-5a626db229cc0%22	http://www.cs.uu.nl/docs/vakken/maa/current/netlogo/6.0.1/Bayesian%20play.nlogo	www.cs.uu.nl/docs/vakken/maa/current/netlogo/6.0.1/Bayesian%20play.nlogo	(from http://www.cs.uu.nl/docs/vakken/maa/current/netlogo-web.php)
09:36:50	12634/12634	---M--	200	added ('OK')	text/plain	etag:%22376884e0-315a-5a626c08d3140%22	http://www.cs.uu.nl/docs/vakken/maa/current/netlogo/6.0.1/Beta%20distribution%20(and%20an%20example%20of%20Bayesian%20updating%20with%20the%20Beta).nlogo	www.cs.uu.nl/docs/vakken/maa/current/netlogo/6.0.1/Beta%20distribution%20(and%20an%20example%20of%20Bayesian%20updating%20with%20the%20Beta).nlogo	(from http://www.cs.uu.nl/docs/vakken/maa/current/netlogo-web.php)
09:36:52	14093/14093	---M--	200	added ('OK')	text/plain	etag:%2237679829-370d-5c282eaf4c4c0%22	http://www.cs.uu.nl/docs/vakken/maa/current/netlogo/6.0.1/Comparison%20of%20reinforcement%20algorithms.nlogo	www.cs.uu.nl/docs/vakken/maa/current/netlogo/6.0.1/Comparison%20of%20reinforcement%20algorithms.nlogo	(from http://www.cs.uu.nl/docs/vakken/maa/current/netlogo-web.php)
09:36:54	14014/14014	---M--	200	added ('OK')	text/plain	etag:%2237614338-36be-5884ee3e7d000%22	http://www.cs.uu.nl/docs/vakken/maa/current/netlogo/6.0.1/ConditionalNoRegret.nlogo	www.cs.uu.nl/docs/vakken/maa/current/netlogo/6.0.1/ConditionalNoRegret.nlogo	(from http://www.cs.uu.nl/docs/vakken/maa/current/netlogo-web.php)
09:36:56	14258/14258	---M--	200	added ('OK')	text/plain	etag:%2237614339-37b2-5884ee7f56900%22	http://www.cs.uu.nl/docs/vakken/maa/current/netlogo/6.0.1/CournotDynamics.nlogo	www.cs.uu.nl/docs/vakken/maa/current/netlogo/6.0.1/CournotDynamics.nlogo	(from http://www.cs.uu.nl/docs/vakken/maa/current/netlogo-web.php)
09:36:58	12030/12030	---M--	200	added ('OK')	text/plain	etag:%223761433a-2efe-5884ee9bf2c80%22	http://www.cs.uu.nl/docs/vakken/maa/current/netlogo/6.0.1/EmergenceOfCities.nlogo	www.cs.uu.nl/docs/vakken/maa/current/netlogo/6.0.1/EmergenceOfCities.nlogo	(from http://www.cs.uu.nl/docs/vakken/maa/current/netlogo-web.php)
09:37:01	23277/23277	---M--	200	added ('OK')	text/plain	etag:%22376406be-5aed-5a5c185a4e240%22	http://www.cs.uu.nl/docs/vakken/maa/current/netlogo/6.0.1/Fictitious%20Play%20on%20a%203x3%20Matrix.nlogo	www.cs.uu.nl/docs/vakken/maa/current/netlogo/6.0.1/Fictitious%20Play%20on%20a%203x3%20Matrix.nlogo	(from http://www.cs.uu.nl/docs/vakken/maa/current/netlogo-web.php)
09:37:02	18748/18748	---M--	200	added ('OK')	text/plain	etag:%22376406bd-493c-5a5c1a2d9b0c0%22	http://www.cs.uu.nl/docs/vakken/maa/current/netlogo/6.0.1/Fictitious%20play%20on%20a%20game%20in%20normal%20form.nlogo	www.cs.uu.nl/docs/vakken/maa/current/netlogo/6.0.1/Fictitious%20play%20on%20a%20game%20in%20normal%20form.nlogo	(from http://www.cs.uu.nl/docs/vakken/maa/current/netlogo-web.php)
09:37:02	14311/14311	---M--	200	added ('OK')	text/plain	etag:%223761433b-37e7-5884eeea26500%22	http://www.cs.uu.nl/docs/vakken/maa/current/netlogo/6.0.1/ForecastingandCalibrationFosters.nlogo	www.cs.uu.nl/docs/vakken/maa/current/netlogo/6.0.1/ForecastingandCalibrationFosters.nlogo	(from http://www.cs.uu.nl/docs/vakken/maa/current/netlogo-web.php)
